ID,Username,Gender,Height,Weight,Home
C10001,ffirniaub0,,,143.9397166,Rural
C10001,ffirniaub0,,,143.9397166,Rural
C10003,Aslop8,Female,60.11391973,127.7124528,Urban
C10004,barlacant4v,Female,67.43101095,168.9223131,
C10005,Tibsds,Male,67.26360484,193.2176727,Rural
C10006,Biofffawdriva0u,Female,62.85937379,134.0516407,Urban
C10007,buradqd,Male,69.15511404,178.7517272,Rural
C10008,thydayErava98,Male,67.89040521,162.9551733,Rural
C10009,Amnong7,Male,69.00216528,188.3308958,Rural
C10010,noapineirod6,Male,64.92590896,185.0018542,Rural
C10011,siuman0223s3,Female,61.94552329,110.6571421,Rural
C10012,brazilski9r,Male,68.60820846,181.7248365,Urban
C10013,Folcioniyb,Male,68.14562101,197.4769298,Urban
C10014,Rilocapro69,Female,61.20713465,104.514576,Urban
C10015,Evircuicy7e,Male,70.90374445,199.3623525,Urban
C10016,Zorme8l,Male,68.20584261,200.7544876,Urban
C10017,hethnolegu8,Female,66.77415209,143.7615369,Urban
C10018,addelaymno6,Female,64.01715723,127.9393943,Rural
C10019,ostativa0s,Male,67.95083753,178.702061,Rural
C10020,rd3o2nt6l,Male,67.95757991,169.0554908,Urban
C10021,ferraturarn,Male,68.29555456,181.7249315,Rural
C10022,InvosteDotsdu,Female,63.57910071,144.0550934,Urban
C10023,seganjars,Male,74.21052139,204.7593437,Urban
C10024,fart8t,Female,58.58029014,98.58590822,Urban
C10025,revelablelz,Male,69.3049776,193.5296063,Urban
C10026,inaitwaar,Female,59.82171103,139.5281168,Urban
C10027,lankaboiik4,Male,71.11078218,184.1447111,Rural
C10028,orpheerobotrw,Male,74.20921595,197.4748276,Rural
C10029,genesingu1,Male,69.25855435,184.6541279,Urban
C10030,ieuentdk,Male,72.19290998,216.1964831,Urban
C10031,aftarleganu,Female,64.92023919,152.8992432,Urban
C10032,estherysaraof,Female,62.28286595,113.471264,Urban
C10033,narostuga,Female,64.32230325,153.0242718,Rural
C10034,inviernosportl6,Female,68.26421231,158.7937316,Rural
C10035,nbuiqvacmj1,Female,64.47292752,128.1917462,Rural
C10036,aquilanakk,Female,68.60383564,179.1819241,Rural
C10037,mizzalex98,Female,66.47546107,149.2051712,Rural
C10038,photodefaust56,Male,68.84301209,153.4680504,Urban
C10039,assistancejt,Female,65.87259592,155.570746,Rural
C10040,kivugawz,Male,71.6222662,194.4192298,Rural
C10041,oreziboyq6,Male,69.56934704,199.8292821,Rural
C10042,yisihlanukp,Male,67.09758575,193.9551074,Urban
C10043,tralhatqq,Female,65.43169834,153.8187433,Rural
C10044,geofitti,Female,62.6041035,114.8062991,Rural
C10045,vanescatz76,,64.37410268,155.0827446,Rural
C10046,2s5e2s1k2v8,Female,61.23624749,111.5027074,Urban
C10047,xiancetepx,Female,64.94853593,155.1331864,Rural
C10048,dognanbg,Male,71.78994161,193.4375287,Urban
C10049,strykmes3x,Male,67.11010034,159.3112919,Rural
C10050,durfdaadwd,Female,66.31757277,153.2466021,Urban
C10051,Vrbljenahpf,Female,60.88487337,128.5303334,Rural
C10052,Biohausp9,Female,69.12915563,164.8190829,Rural
C10053,loshavnsy,Female,63.38180751,132.9742829,Rural
C10054,kyopingg3,Male,70.84758088,195.9693251,Urban
C10055,apaisanabb,Female,64.7054369,146.8487122,Urban
C10056,teatrofilmadojx,Male,71.65370339,203.5601772,Rural
C10057,Macula03,Male,70.08043998,203.1596596,Rural
C10058,Yesicelod4,Female,65.65054028,147.3371838,Urban
C10059,lesinas65,Female,57.84910509,96.28009269,0
C10060,Indikativ81,Female,63.69071992,121.6334087,Urban
C10061,wine668u,Female,61.30617813,121.8891806,Urban
C10062,losrosantesgz,Male,73.73792828,208.1623839,Rural
C10063,bocem1z,Male,69.89315067,200.1206742,Rural
C10064,Barbizzix1,Male,71.32700107,206.3851911,Rural
C10065,Hiebingents,Female,65.14538079,138.4226417,Rural
C10066,Stockholzbc,Male,66.68973599,162.5654067,Urban
C10067,xxhellamanderlh,Female,65.28709944,145.4692366,Rural
C10068,indusismm,Female,59.79586097,118.7540406,Urban
C10069,levigandoaf,Male,70.46230271,191.9207273,Urban
C10070,Universumpo,Male,70.67451735,193.5591924,Rural
C10071,mas3kifz,Male,69.35749107,187.40143,Rural
C10072,Fluoldindussyf8,Female,63.40033317,147.6049352,Rural
C10073,naturligedd,Male,67.51937215,200.8970211,Urban
C10074,Zeuneruq,Male,69.12305784,179.024645,Urban
C10075,heerbanj3,Female,59.26630324,100.6485236,Urban
C10076,Dainesinj,Female,61.59570048,125.6904456,Urban
C10077,subarctics6,Male,73.62154397,206.4922129,Rural
C10078,grechwenua,Male,66.69267129,158.733412,Rural
C10079,de2s3trqp,Male,75.75344577,226.5033443,Rural
C10080,Sagamizj,Male,70.18595092,188.0013942,Rural
C10081,draadpoppp,Female,64.0414419,141.8868021,Rural
C10082,bbyxrin6x,Female,60.58879917,109.306131,Rural
C10083,redossavatf,Male,68.45942981,181.3633972,Rural
C10084,stuffles92vd,Female,56.78938641,95.32808768,Rural
C10085,napomozmenu,Female,63.47689571,127.3366975,Rural
C10086,keliskart03,Male,73.7888849,222.3975605,Urban
C10087,uzurpovatci,Female,61.16737637,111.5727657,Urban
C10088,a85298521290hv,Female,61.08414371,130.3774672,Rural
C10089,n5d4o1naef,Male,65.00141316,161.0294158,Urban
C10090,vlasdraad94,Male,64.58725609,158.3740869,Urban
C10091,sodnim3h,Female,65.03453684,145.7060622,Urban
C10092,flityflakmr,Female,60.95754176,104.6831492,Rural
C10093,pussenisw2,Male,67.85653908,191.7103323,Rural
C10094,mopeletoub,Female,62.2024039,133.5529417,Urban
C10095,Jaroszuk6z,Female,61.30392413,128.2692647,Rural
C10096,talpinadaab,Male,68.89009494,194.6814346,Urban
C10097,hiciaukq,Male,74.46298656,219.8129065,Urban
C10098,ariamseni8a,Female,68.24470989,158.2517189,Rural
C10062,baluhetaskr,Male,66.77872373,158.7158702,Urban
C10100,aznxdemonrh,Female,66.56418011,165.9313975,Urban
C10101,matiphatty25uk,Female,59.55076633,132.9883887,0
C10102,lelovely1190i,Male,,206.5229741,Urban
C10103,freezypool57766,Female,62.33786245,129.2565623,Rural
C10104,grankvist5z,Male,68.68725567,203.5603338,Rural
C10105,cuirp4o,Male,71.40815221,208.0593736,Rural
C10106,Manzella0v,Female,63.80413136,120.607958,Rural
C10107,Hrecinicu2,Male,71.45441131,213.3365925,Urban
C10108,mehmedomi7,Female,63.20683042,140.4579414,Rural
C10109,apskrundawm,Female,61.82564512,121.277608,Urban
C10110,oblivion2023qw,Male,60.72107966,123.6283596,Rural
C10111,aimeecry0x,Male,68.48608307,203.0092436,Urban
C10112,deahTraurry16,Male,72.44634816,196.6322394,Urban
C10113,pismene7n,Male,70.29338742,189.2492063,Rural
C10114,monicascrapmj,Male,70.49052137,208.7648975,Rural
C10115,cf04ia,Female,61.06890784,102.4023744,Urban
C10116,corda37,Female,66.26368391,149.0770228,Urban
C10117,efekciarzzq,Female,63.95905849,159.7092788,Rural
C10118,reign119zp,,63.041982,119.9372934,Rural
C10119,Stachniuk64,Male,65.23963503,158.6197611,Urban
C10120,tarimskip7,Female,65.11015527,141.4052745,Rural
C10121,igrapx,Female,65.72771079,144.0522571,Rural
C10122,toplinxe,Female,65.26855729,161.4777443,Urban
C10123,blakeksu05jw,Female,59.24865572,110.5871908,Urban
C10124,staiga9h,Female,63.78490948,140.4107411,Urban
C10125,PlaushWhaths8,Male,65.75532366,166.965345,Rural
C10126,lmv17lm,Male,70.94711392,202.0471123,Rural
C10127,annernacidoiy,Male,72.71349076,207.4596817,Urban
C10128,mpikoca,Male,72.84494786,205.2508892,Urban
C10129,suchovodlf,Female,64.21824828,137.6063446,Urban
C10130,camporarof,Male,70.65523058,195.4418631,Rural
C10131,is4ensr,Female,63.91051577,140.7309516,Urban
C10132,zeffiroft,Male,64.39582837,145.3986323,Rural
C10133,xblockxcw,Male,71.28033023,217.9035994,Rural
C10134,CymnGantmaisybo,Female,64.173306,149.326567,Rural
C10135,teretbabyrm,Female,,120.9366143,Rural
C10136,madisonk4lxj,Female,65.32796901,139.0454357,Urban
C10137,Stercoliq5,Female,63.11083286,135.8048587,Rural
C10138,complidorxt,Male,70.34949975,195.9714769,Rural
C10139,ecrirej0k,Female,63.29258532,135.1596472,Rural
C10140,nawomkabodl,Male,71.81609502,205.7563737,Rural
C10141,ugodowiec6q,Male,67.272143,182.3943347,Urban
C10142,necanthrope43,Male,73.93388062,218.5500933,Urban
C10062,hjortefoto4,Male,66.20571522,167.6296598,Rural
C10144,blogmenchuww,Male,70.85779432,199.9663875,Urban
C10145,acidmatchesic,Female,64.31120561,138.8174294,Urban
C10146,Podobenecl1,Male,69.88973762,203.3908008,Urban
C10147,coriscarwb,Female,69.21120218,147.0493817,Urban
C10148,wakuwakuviica,Female,65.47590249,154.4408869,Urban
C10149,hajaenday7,Female,62.53532479,124.8339827,Urban
C10150,syntonik8e,Male,69.50122288,186.5955147,Rural
C10151,tarbana62,Male,70.18999922,195.7178851,Urban
C10152,knliaisgf,Male,64.7552066,160.9750177,Urban
C10153,akcionihnl,Female,64.34170483,138.297276,Urban
C10154,narostucp,Female,61.51650697,132.9780164,Urban
C10155,zingaspt,Female,58.86675136,100.8489,Rural
C10156,Cornettoin,Female,59.18173123,106.7724885,Rural
C10157,preslavu8o,Male,65.6942936,150.9606196,Urban
C10158,zajtalanui,Female,60.82211814,127.441434,Rural
C10159,scalerai6,Female,66.53500864,147.5019138,Rural
C10160,nastirukr,Male,70.17830705,198.3676122,Urban
C10161,bayodingafb,Male,65.50482269,161.7450708,Rural
C10162,fripsesemrb,Male,67.95292159,171.2171413,Urban
C10163,gojatasko,Female,67.04924432,160.7380964,Rural
C10164,passiewe2l,Female,65.62099851,133.7604933,Rural
C10165,secoditsgh,Female,64.36336769,139.8808647,Urban
C10166,mypalfootfootst,Male,65.66451791,,Rural
C10167,Cholek0f,Female,66.92533618,162.7133916,Urban
C10168,raryhophodeih,Female,65.28601781,143.3730772,Rural
C10169,Musaicofh,Female,65.07557381,143.1857102,Urban
C10170,maskotomez,Female,58.57757583,109.0516293,Urban
C10171,milliechung23y4,Female,62.93076044,149.6588227,Urban
C10172,angenzic1,Female,64.71899885,149.1110522,Rural
C10173,hadharanil9,Male,73.84689148,228.2751804,Rural
C10174,mandymyersov,Female,58.84758076,117.7266921,Urban
C10175,legindeen,Female,60.07294329,126.3896126,Rural
C10176,wyrddafig,Male,70.55512567,205.989402,Urban
C10177,beaumpetatekc,Female,60.66153049,114.0894674,Rural
C10178,luseregesic,Female,63.17474158,133.6859136,Rural
C10179,lavishl0,Female,63.4440555,126.5076312,Urban
C10180,lassoerhp,Female,60.95548665,105.8805806,Urban
C10181,wennybeebb,Male,64.63944884,165.0713967,Rural
C10182,sonpetitwouf74,Male,69.35610868,185.9166419,Urban
C10183,armabanxb,Female,60.91327091,123.8276035,Rural
C10184,Eduafoem,Male,67.17597236,176.4475043,Rural
C10185,efelazk,Female,65.79751568,134.3427445,Rural
C10186,secoditsgh,Female,59.73527867,124.8426596,Urban
C10187,xermicida91,Male,73.36589132,,Urban
C10188,postupkumz,Male,69.64182079,192.9420675,Urban
C10189,falcsui8d,Female,60.54186818,102.5457909,Rural
C10168,bignessee,Female,61.99048001,110.925975,Rural
C10191,Falcherof2,Female,64.48709509,130.6521309,Urban
C10192,utakuwak9,Male,71.58327164,193.0854912,Urban
C10193,pantayi5,Female,63.94648267,135.0374954,Rural
C10194,cistarld,Male,68.5801273,196.419012,Urban
C10195,vulcano1974oi,Male,67.61919626,181.9053186,Urban
C10196,yalezop7,Male,67.73008136,175.953797,Urban
C10197,infaniemagsaa,Male,66.41396674,182.7101495,Rural
C10198,jubylee9vt,Male,71.36589596,214.9987451,Rural
C10199,scucirehy,Male,72.30881378,209.4555523,Urban
C10200,nyczbabuq3,Female,67.07366076,160.459759,Rural
